threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.2,3730.9649999999997,57,625.2033333333338,6,16.75714817301513,1.9837741055011016,18
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.2,3730.9649999999997,57,79.4716666666668,1,2.130056611805976,1.9561545102660456,7
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.2,3730.9649999999997,57,265.7249999999999,3,7.1221520437741965,1.9975076797528242,12
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.2,3730.9649999999997,57,94.08666666666659,1,2.521778324553208,1.8827061000673688,6
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.2,3730.9649999999997,57,343.1966666666667,3,9.198603221061221,1.1014796419247785,5
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.05,0.1,3730.9649999999997,57,455.1833333333325,4,12.200150184559021,4.946259648913003,12
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.05,0.1,3730.9649999999997,57,645.7766666666671,5,17.308569409433407,4.499291320781907,12
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.05,0.1,3730.9649999999997,57,101.59666666666635,1,2.7230667311718646,3.480420274472302,4
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.05,0.1,3730.9649999999997,57,410.25833333333276,4,10.99603811167708,0.9658903837820538,11
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.05,0.1,3730.9649999999997,57,34.39666666666653,1,0.9219241313350979,1.3842976814783108,3
